Código,Instituição executora,Estado,Estratégia do trecho,Data,Ponto - Lat,Ponto - Long,Espécies - Classe,Espécies - Ordem,Espécies - Espécie,Espécie ameaçada,Caracterização do ambiente,Condição,Cidade
190601,Ambipar Response,Espírito Santo,Diário,2022-06-06,-20.331,-402.737,Reptilia,Testudines,Chelonia mydas,Não,Arenoso,Morto,Vila Velha
190593,Ambipar Response,Espírito Santo,Diário,2022-06-07,-195.844,-3.978.377,Mammalia,Cetacea,Sotalia guianensis,Não,Arenoso,Morto,Linhares
190587,Ambipar Response,Espírito Santo,Diário,2022-06-03,-204.352,-403.259,Reptilia,Testudines,Chelonia mydas,Não,Arenoso,Morto,Vila Velha
190581,Ambipar Response,Rio de Janeiro,Diário,2022-06-07,-21.409.655,-4.100.319,Reptilia,Testudines,Chelonia mydas,Não,Arenoso,Morto,São Francisco de Itabapoana
190580,Ambipar Response,Rio de Janeiro,Diário,2022-06-07,-215.023.133,-410.702.867,Reptilia,Testudines,Chelonia mydas,Não,Arenoso,Morto,São Francisco de Itabapoana
190577,Ambipar Response,Rio de Janeiro,Diário,2022-06-07,-222.355,-415.456,Reptilia,Testudines,Lepidochelys olivacea,Não,Arenoso,Morto,Carapebus
190576,Ambipar Response,Rio de Janeiro,Diário,2022-06-07,-221.732,-413.424,Reptilia,Testudines,Caretta caretta,Não,Arenoso,Morto,Quissamã
190573,Ambipar Response,Rio de Janeiro,Diário,2022-06-06,-225.076,-419.103,Reptilia,Testudines,Chelonia mydas,Não,Arenoso,Morto,Rio das Ostras
190571,Ambipar Response,Espírito Santo,Diário,2022-06-05,-208.338.192,-406.995.846,Reptilia,Testudines,Chelonia mydas,Não,Arenoso,Morto,Anchieta
190567,Ambipar Response,Espírito Santo,Diário,2022-06-04,-208.268.988,-406.869.549,Reptilia,Testudines,Chelonia mydas,Não,Arenoso,Morto,Anchieta
190566,Ambipar Response,Rio de Janeiro,Diário,2022-06-07,-2.294.601,-4.216.342,Reptilia,Testudines,Caretta caretta,Não,Arenoso,Morto,Arraial do Cabo
190563,Ambipar Response,Espírito Santo,Diário,2022-06-04,-20.827.757,-406.900.445,Reptilia,Testudines,Chelonia mydas,Não,Arenoso,Morto,Anchieta
190562,Ambipar Response,Rio de Janeiro,Diário,2022-06-06,-229.362,-4.232.934,Reptilia,Testudines,Chelonia mydas,Não,Arenoso,Morto,Araruama
190561,Ambipar Response,Espírito Santo,Diário,2022-06-04,-208.332.576,-406.965.719,Reptilia,Testudines,Chelonia mydas,Não,Arenoso,Morto,Anchieta
190555,Ambipar Response,Espírito Santo,Diário,2022-06-07,-1.873.547,-397.463,Reptilia,Testudines,Chelonia mydas,Não,Arenoso,Morto,São Mateus
190546,Ambipar Response,Espírito Santo,Diário,2022-06-07,-1.933.628,-396.929,Reptilia,Testudines,Lepidochelys olivacea,Não,Arenoso,Morto,Linhares
190545,Ambipar Response,Rio de Janeiro,Diário,2022-06-06,-22.508,-419.151,Aves,Charadriiformes,Larus dominicanus,Não,Outros,Vivo,Rio das Ostras
190535,Ambipar Response,Espírito Santo,Diário,2022-06-06,-200.125,-401.553,Reptilia,Testudines,Chelonia mydas,Não,Arenoso,Morto,Fundão
190534,Ambipar Response,Rio de Janeiro,Diário,2022-06-06,-2.287.389,-4.200.919,Reptilia,Testudines,Caretta caretta,Não,Outros,Morto,Cabo Frio
190533,Ambipar Response,Rio de Janeiro,Diário,2022-06-06,-2.282.382,-419.713,Reptilia,Testudines,Chelonia mydas,Não,Arenoso,Vivo,Cabo Frio
190528,Ambipar Response,Espírito Santo,Diário,2022-06-02,-204.659,-403.412,Reptilia,Testudines,Chelonia mydas,Não,Arenoso,Morto,Vila Velha
190526,Ambipar Response,Rio de Janeiro,Diário,2022-06-06,-223.173,-417.159,Aves,Suliformes,Fregata magnificens,Não,Outros,Vivo,Macaé
190508,Ambipar Response,Rio de Janeiro,Diário,2022-06-06,-21.468.965,-410.482.017,Reptilia,Testudines,Chelonia mydas,Não,Arenoso,Morto,São Francisco de Itabapoana
190507,Ambipar Response,Rio de Janeiro,Diário,2022-06-06,-21.405.255,-410.014.367,Reptilia,Testudines,Chelonia mydas,Não,Arenoso,Morto,São Francisco de Itabapoana
